	AT5G47480.1_ARATH	AT5G47490.1_ARATH	BGIOSGA007340-PA_ORYSI	BGIOSGA022100-PA_ORYSI	Bra017483.1-P_BRARP	Bra017485.1-P_BRARP	Bra024940.1-P_BRARP	GLYMA01G41790.1_SOYBN	GLYMA01G41800.2_SOYBN	GLYMA11G03580.2_SOYBN	GLYMA11G03590.1_SOYBN	GRMZM2G104958_P01_MAIZE	GRMZM2G104958_P02_MAIZE	GRMZM2G163277_P01_MAIZE	GRMZM2G429241_P01_MAIZE	OB02G10440.1_ORYBR	OB06G10410.1_ORYBR	OBART02G00430.1_ORYBA	OBART06G00330.1_ORYBA	OBART06G00330.2_ORYBA	OBART06G00330.3_ORYBA	OGLUM02G00410.1_ORYGU	OGLUM06G00300.1_ORYGU	OMERI02G09180.1_ORYME	OMERI02G09180.2_ORYME	OMERI06G00300.1_ORYME	OMERI06G00300.2_ORYME	OMERI06G00300.3_ORYME	OMERI06G00300.4_ORYME	ONIVA02G00440.1_ORYNI	ONIVA06G00360.1_ORYNI	ONIVA06G00360.2_ORYNI	ONIVA06G00360.3_ORYNI	ONIVA06G00360.4_ORYNI	ONIVA06G00360.5_ORYNI	OPUNC02G00090.1_ORYPU	OPUNC06G00300.1_ORYPU	OPUNC06G00300.2_ORYPU	ORGLA02G0004000.1_ORYGL	ORGLA06G0003200.1_ORYGL	ORUFI02G00460.1_ORYRU	ORUFI06G00340.1_ORYRU	ORUFI06G00340.2_ORYRU	ORUFI06G00340.3_ORYRU	OS02T0105100-01_ORYSA	OS06T0105600-01_ORYSA	POPTR_0001s15800.1_POPTR	POPTR_0003s07480.1_POPTR	Sb04g000560.1_SORBI	Sb04g000570.1_SORBI	Sb10g000570.1_SORBI	Solyc08g007340.2.1_SOLLC	Solyc08g007360.2.1_SOLLC
GRMZM2G163277_P01_MAIZE	1	1	0.9	0	1	1	1	1	1	1	1	0	0	-	0	0.9	0	0.9	0	0	0	0.9	0	0.9	0.9	0	0	0	0	0.9	0	0	0	0	0	0.9	0	0	0.9	0	0.9	0	0	0	0.9	0	1	1	0	0	0	1	1
GRMZM2G429241_P01_MAIZE	1	1	0.9	0	1	1	1	1	1	1	1	0	0	0	-	0.9	0	0.9	0	0	0	0.9	0	0.9	0.9	0	0	0	0	0.9	0	0	0	0	0	0.9	0	0	0.9	0	0.9	0	0	0	0.9	0	1	1	1	1	0	1	1
OB02G10440.1_ORYBR	1	1	1	0	1	1	1	1	1	1	1	0	0	0.9	0.9	-	0	1	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	1	1	0.9	0.9	0	1	1
OB06G10410.1_ORYBR	1	1	0	1	1	1	1	1	1	1	1	1	1	0	0	0	-	0	1	1	1	0	1	0	0	1	1	1	1	0	1	1	1	1	1	0	1	1	0	1	0	1	1	1	0	1	1	1	0	0	1	1	1
OBART02G00430.1_ORYBA	1	1	1	0	1	1	1	1	1	1	1	0	0	0.9	0.9	1	0	-	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	1	1	0.9	0.9	0	1	1
OBART06G00330.1_ORYBA	1	1	0	0.4	1	1	1	1	1	1	1	1	1	0	0	0	1	0	-	0	0	0	0.6	0	0	1	1	1	1	0	0.4	0.4	0.4	0.4	0.4	0	1	1	0	0.5	0	0.4	0.4	0.4	0	0.7	1	1	0	0	1	1	1
OBART06G00330.2_ORYBA	1	1	0	0.4	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0	-	0	0	0.3	0	0	1	1	1	1	0	0.4	0.4	0.4	0.4	0.4	0	1	1	0	0.4	0	0.4	0.4	0.4	0	0.4	1	1	0	0	1	1	1
OBART06G00330.3_ORYBA	1	1	0	0.4	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0	0	-	0	0.2	0	0	1	1	1	1	0	0.4	0.4	0.4	0.4	0.4	0	1	1	0	0.6	0	0.3	0.3	0.3	0	0.5	1	1	0	0	1	1	1
OGLUM02G00410.1_ORYGU	1	1	1	0	1	1	1	1	1	1	1	0	0	0.9	0.9	1	0	1	0	0	0	-	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	1	1	0.9	0.9	0	1	1
OGLUM06G00300.1_ORYGU	1	1	0	0.6	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0.6	0.3	0.2	0	-	0	0	1	1	1	1	0	0.6	0.6	0.6	0.6	0.7	0	1	1	0	0.5	0	0.9	0.9	0.9	0	0.7	1	1	0	0	1	1	1
OMERI02G09180.1_ORYME	1	1	1	0	1	1	1	1	1	1	1	0	0	0.9	0.9	1	0	1	0	0	0	1	0	-	0	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	1	1	0.9	0.9	0	1	1
OMERI02G09180.2_ORYME	1	1	1	0	1	1	1	1	1	1	1	0	0	0.9	0.9	1	0	1	0	0	0	1	0	0	-	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	1	1	0.9	0.9	0	1	1
OMERI06G00300.1_ORYME	1	1	0	1	1	1	1	1	1	1	1	1	1	0	0	0	1	0	1	1	1	0	1	0	0	-	0	0	0	0	1	1	1	1	1	0	1	1	0	1	0	1	1	1	0	1	1	1	0	0	1	1	1
OMERI06G00300.2_ORYME	1	1	0	1	1	1	1	1	1	1	1	1	1	0	0	0	1	0	1	1	1	0	1	0	0	0	-	0	0	0	1	1	1	1	1	0	1	1	0	1	0	1	1	1	0	1	1	1	0	0	1	1	1
OMERI06G00300.3_ORYME	1	1	0	1	1	1	1	1	1	1	1	1	1	0	0	0	1	0	1	1	1	0	1	0	0	0	0	-	0	0	1	1	1	1	1	0	1	1	0	1	0	1	1	1	0	1	1	1	0	0	1	1	1
OMERI06G00300.4_ORYME	1	1	0	1	1	1	1	1	1	1	1	1	1	0	0	0	1	0	1	1	1	0	1	0	0	0	0	0	-	0	1	1	1	1	1	0	1	1	0	1	0	1	1	1	0	1	1	1	0	0	1	1	1
ONIVA02G00440.1_ORYNI	1	1	1	0	1	1	1	1	1	1	1	0	0	0.9	0.9	1	0	1	0	0	0	1	0	1	1	0	0	0	0	-	0	0	0	0	0	1	0	0	1	0	1	0	0	0	1	0	1	1	0.9	0.9	0	1	1
ONIVA06G00360.1_ORYNI	1	1	0	0.4	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0.4	0.4	0.4	0	0.6	0	0	1	1	1	1	0	-	0	0	0	0	0	1	1	0	0.7	0	0.6	0.6	0.6	0	0.7	1	1	0	0	1	1	1
ONIVA06G00360.2_ORYNI	1	1	0	0.2	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0.4	0.4	0.4	0	0.6	0	0	1	1	1	1	0	0	-	0	0	0	0	1	1	0	0.7	0	0.5	0.5	0.5	0	0.6	1	1	0	0	1	1	1
ONIVA06G00360.3_ORYNI	1	1	0	0.2	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0.4	0.4	0.4	0	0.6	0	0	1	1	1	1	0	0	0	-	0	0	0	1	1	0	0.7	0	0.5	0.5	0.5	0	0.6	1	1	0	0	1	1	1
ONIVA06G00360.4_ORYNI	1	1	0	0.5	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0.4	0.4	0.4	0	0.6	0	0	1	1	1	1	0	0	0	0	-	0	0	1	1	0	0.7	0	0.6	0.6	0.6	0	0.6	1	1	0	0	1	1	1
ONIVA06G00360.5_ORYNI	1	1	0	0.4	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0.4	0.4	0.4	0	0.7	0	0	1	1	1	1	0	0	0	0	0	-	0	1	1	0	0.7	0	0.6	0.6	0.6	0	0.6	1	1	0	0	1	1	1
OPUNC02G00090.1_ORYPU	1	1	1	0	1	1	1	1	1	1	1	0	0	0.9	0.9	1	0	1	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	-	0	0	1	0	1	0	0	0	1	0	1	1	0.9	0.9	0	1	1
OPUNC06G00300.1_ORYPU	1	1	0	1	1	1	1	1	1	1	1	1	1	0	0	0	1	0	1	1	1	0	1	0	0	1	1	1	1	0	1	1	1	1	1	0	-	0	0	1	0	1	1	1	0	1	1	1	0	0	1	1	1
OPUNC06G00300.2_ORYPU	1	1	0	1	1	1	1	1	1	1	1	1	1	0	0	0	1	0	1	1	1	0	1	0	0	1	1	1	1	0	1	1	1	1	1	0	0	-	0	1	0	1	1	1	0	1	1	1	0	0	1	1	1
ORGLA02G0004000.1_ORYGL	1	1	1	0	1	1	1	1	1	1	1	0	0	0.9	0.9	1	0	1	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	-	0	1	0	0	0	1	0	1	1	0.9	0.9	0	1	1
ORGLA06G0003200.1_ORYGL	1	1	0	0.7	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0.5	0.4	0.6	0	0.5	0	0	1	1	1	1	0	0.7	0.7	0.7	0.7	0.7	0	1	1	0	-	0	0.6	0.6	0.6	0	0.8	1	1	0	0	1	1	1
ORUFI02G00460.1_ORYRU	1	1	1	0	1	1	1	1	1	1	1	0	0	0.9	0.9	1	0	1	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	-	0	0	0	1	0	1	1	0.9	0.9	0	1	1
ORUFI06G00340.1_ORYRU	1	1	0	0.7	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0.4	0.4	0.3	0	0.9	0	0	1	1	1	1	0	0.6	0.5	0.5	0.6	0.6	0	1	1	0	0.6	0	-	0	0	0	0.7	1	1	0	0	1	1	1
ORUFI06G00340.2_ORYRU	1	1	0	0.6	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0.4	0.4	0.3	0	0.9	0	0	1	1	1	1	0	0.6	0.5	0.5	0.6	0.6	0	1	1	0	0.6	0	0	-	0	0	0.8	1	1	0	0	1	1	1
ORUFI06G00340.3_ORYRU	1	1	0	0.7	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0.4	0.4	0.3	0	0.9	0	0	1	1	1	1	0	0.6	0.5	0.5	0.6	0.6	0	1	1	0	0.6	0	0	0	-	0	0.7	1	1	0	0	1	1	1
OS02T0105100-01_ORYSA	1	1	1	0	1	1	1	1	1	1	1	0	0	0.9	0.9	1	0	1	0	0	0	1	0	1	1	0	0	0	0	1	0	0	0	0	0	1	0	0	1	0	1	0	0	0	-	0	1	1	0.9	0.9	0	1	1
OS06T0105600-01_ORYSA	1	1	0	0.7	1	1	1	1	1	1	1	1	1	0	0	0	1	0	0.7	0.4	0.5	0	0.7	0	0	1	1	1	1	0	0.7	0.6	0.6	0.6	0.6	0	1	1	0	0.8	0	0.7	0.8	0.7	0	-	1	1	0	0	1	1	1
POPTR_0001s15800.1_POPTR	0.1	0.1	1	1	0.1	0.1	0.1	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-	0	1	1	1	1	1
POPTR_0003s07480.1_POPTR	0.1	0.1	1	1	0.1	0.1	0.1	0	0	0	0	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	-	1	1	1	1	1
Sb04g000560.1_SORBI	1	1	0.9	0	1	1	1	1	1	1	1	0	0	0	1	0.9	0	0.9	0	0	0	0.9	0	0.9	0.9	0	0	0	0	0.9	0	0	0	0	0	0.9	0	0	0.9	0	0.9	0	0	0	0.9	0	1	1	-	0	0	1	1
Sb04g000570.1_SORBI	1	1	0.9	0	1	1	1	1	1	1	1	0	0	0	1	0.9	0	0.9	0	0	0	0.9	0	0.9	0.9	0	0	0	0	0.9	0	0	0	0	0	0.9	0	0	0.9	0	0.9	0	0	0	0.9	0	1	1	0	-	0	1	1
Sb10g000570.1_SORBI	1	1	0	1	1	1	1	1	1	1	1	1	1	0	0	0	1	0	1	1	1	0	1	0	0	1	1	1	1	0	1	1	1	1	1	0	1	1	0	1	0	1	1	1	0	1	1	1	0	0	-	1	1
Solyc08g007340.2.1_SOLLC	0.5	0.5	1	1	0.5	0.5	0.5	0.4	0.4	0.4	0.4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	-	0
Solyc08g007360.2.1_SOLLC	0.5	0.5	1	1	0.5	0.5	0.5	0.4	0.4	0.4	0.4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	-
